year,LTA
1951,0.10041715
1952,0.030740748
1953,-0.311348562
1954,-0.212749548
1955,-0.575032608
1956,-0.817761877
1957,-0.153759558
1958,-0.622248681
1959,-0.360441359
1960,0.300258709
1961,-0.353810046
1962,0.059589534
1963,0.071862295
1964,0.570941956
1965,0.677178273
1966,0.806110409
1967,0.19497303
1968,0.227347451
1969,0.22509721
1970,-0.281635393
1971,-0.665178809
1972,-0.101961563
1973,-0.570826553
1974,0.479939355
1975,-0.063316048
1976,-0.159685845
1977,-0.755470713
1978,-0.967058354
1979,-0.005312893
1980,-0.298622797
1981,0.036835543
1982,-0.490204165
1983,-0.088986973
1984,-0.455512108
1985,-0.066669936
1986,-0.297705613
1987,0.395284672
1988,0.723540971
1989,0.673406842
1990,-0.497052906
1991,0.466970228
1992,1.211796658
1993,0.277122858
1994,-0.16200435
1995,-0.802004071
1996,-0.114012102
1997,-0.827896811
1998,-0.954617158
1999,0.13015202
2000,0.925621761
2001,-0.058996067
2002,0.782853263
2003,-0.580012384
2004,0.778957623
2005,0.45280184
2006,-0.802143912
2007,0.127904578
2008,0.066436295
2009,0.470479643
2010,0.13550963
2011,0.472341688
2012,0.174748751
2013,-0.317271271
2014,0.136352594
2015,-0.044961282
2016,0.540012728
2017,0.605428788
2018,0.88405066
2019,-0.376793439
