year,NDVI
1982,0.226522314
1983,0.222949922
1984,0.220880125
1985,0.199586461
1986,0.315159741
1987,0.342576373
1988,0.245619067
1989,0.253115227
1990,0.259638218
1991,0.277477619
1992,0.259945572
1993,0.273105509
1994,0.130824797
1995,0.295495183
1996,0.352418112
1997,0.261441708
1998,0.278455493
1999,0.30364275
2000,0.299557449
2001,0.302200306
2002,0.312569563
2003,0.290333414
2004,0.325127752
2005,0.257802053
2006,0.269757224
2007,0.30773709
2008,0.291346804
2009,0.268322725
2010,0.270926302
2011,0.263029593
2012,0.269193719
2013,0.258079193
2014,0.375733898
2015,0.371926764
2016,0.324960246
2017,0.363272223
2018,0.34889181
2019,0.331807526
2020,0.345404889
